CustomerID,FirstName,LastName,CardNumber,CVV,CardBrand
1258711,Weber,McGilvra,4374390016106080,128,MASTERCARD
4089097,Hall,Batteson,5643700260754680,812,AMERICAN EXPRESS
9832560,Gian,Braitling,1234245732293990,281,VISA
6747106,Goldina,Torbard,8039659791104480,616,AMERICAN EXPRESS
3572726,Penni,Obee,3976533679382760,709,MASTERCARD
5157733,Gae,Seymour,5298708840894580,235,MASTERCARD
1855170,Glori,Bromby,4942909265856670,798,AMERICAN EXPRESS
3112911,Kylen,Zemler,2249210201606920,106,MASTERCARD
7863232,Any,Forber,2671334508655570,937,AMERICAN EXPRESS
6589130,Gianina,Josskovitz,4548710865460690,252,MASTERCARD
6262651,Hobie,Tongs,6511407457149740,683,AMERICAN EXPRESS
5379633,Carlotta,Palphramand,4975516546350700,682,MASTERCARD
4089097,Hall,Batteson,5643700260754680,812,AMERICAN EXPRESS
1205015,Emmalynn,Hatchard,6793336385542580,643,MASTERCARD
6681297,Corette,Petruk,2743849715049720,993,AMERICAN EXPRESS
4987140,Morie,Raiman,3926631335954410,947,VISA
3527555,Titus,Harrismith,5009593937073070,933,AMERICAN EXPRESS
9515156,Floris,Songist,4107545176247390,899,AMERICAN EXPRESS
9586078,Kenyon,Melledy,6115516681884960,256,MASTERCARD
6873788,Anastasia,Yeldham,5161059049393480,633,AMERICAN EXPRESS
2810497,Ludvig,Dudman,9457171247751410,583,VISA
8536758,Bordie,Vasiliu,4573098823037900,858,AMERICAN EXPRESS
7188740,Rafa,Tyrie,8920850151024180,830,AMERICAN EXPRESS
2266826,Nikola,MacCosty,6929303609677910,445,VISA
6224581,Isa,Eger,1852026425719460,250,MASTERCARD
5006859,Dara,Addeycott,2157825434149950,540,MASTERCARD
6873788,Anastasia,Yeldham,5161059049393480,633,AMERICAN EXPRESS
9937246,Corbin,Button,7005988829755930,241,VISA
5129222,Truman,Heynen,4943230621723210,893,AMERICAN EXPRESS
5343686,Murial,Valde,4093577358657730,491,AMERICAN EXPRESS
8128575,Nonnah,Conquest,8752895388959540,378,MASTERCARD
4405488,Olive,Kearford,9654361747394530,870,VISA
8520047,Kevina,Gaywood,1973849125191190,609,VISA
9446394,Shani,Markie,3879789432902520,397,VISA
9135754,Stacee,Bosman,1903437247831630,596,MASTERCARD
8147544,Innis,Tumpane,5821394736756730,369,VISA
9247094,Ali,Cromly,3987020720879280,797,VISA
6493103,Jermayne,Atlay,8063447650291220,695,MASTERCARD
1597037,Celestia,Navarijo,9320573614342020,946,AMERICAN EXPRESS
3042065,Gregoor,McGannon,7320204467917400,186,VISA
2483013,Mattie,Doblin,4969372335080440,461,AMERICAN EXPRESS
2428765,Celesta,Meharry,6131715100665530,308,VISA
7896685,Arden,Pergens,6356955929821950,612,VISA
2235779,Rosalind,Shoemark,9982296998685520,728,MASTERCARD
2807959,Arliene,Reucastle,2708257872632800,775,MASTERCARD
4768949,Robers,Giuron,8525165582672580,327,VISA
6612821,Lura,McMoyer,1547057005699610,316,VISA
4129409,Saw,Traves,9746587750941170,136,MASTERCARD
5601096,Friedrick,Folkerd,6755213319202780,767,VISA
6307320,Erin,Bedwell,3888497419614110,749,VISA
